name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds,draft_Year,draft_No,draft_Round,draft_Pick,draft_Player,draft_Team,draft_College
Matt Hasselbeck,SEA,2001,26,76,223,70.9,176,11.5,251,8,4.94,13,64,4.32,2.2,54.8,12,2.5,5.6,7,0,2,38,5,7,6.3,2023,NA,155.6,321,10.6,390,97.5,6.5,5.4,113.1,55.6,175.25,701,4,22,5.5,26,6.5,4548,1137,1998,7,6,34,187,Packers,Boston College
Matt Leinart,ARI,2006,23,77,225,74,214,11.9,158,12,6,12,58,5.2,2.9,56.8,11,3.2,5.9,8,1,1,21,4,11,6.8,2547,NA,212.3,377,5.3,807,269,8.6,9.3,159.5,64.8,415,1245,3,99,33,23,7.67,10693,3564.33,2006,2,1,10,10,Cardinals,USC
Matt Robinson,NYJ,1978,23,74,196,63.5,124,NA,228,16,6.03,16,77,4.47,4.9,46.6,11,6,5.8,10,1,1,28,6,13,7.5,2002,NA,125.1,266,9.5,125,41.67,8.4,6.3,121.9,45.6,91.33,274,3,17,5.67,20,6.67,2295,765,1977,13,9,4,227,Jets,Georgia
Matt Ryan,ATL,2008,23,77,224,87.7,265,13,104,11,7.4,16,70,7.01,3.7,61.1,16,2.5,7.5,14,2,4,17,11,16,7.9,3440,74.09,215,434,3.8,807,201.75,6.9,6.5,126.3,60,336.5,1346,4,56,14,37,9.25,9313,2328.25,2008,1,1,3,3,Falcons,Boston College
Matt Schaub,HOU,2007,26,77,235,87.2,192,11.7,126,9,6.93,11,77,6.2,3.1,66.4,11,3.1,7,8,1,1,16,4,9,7.8,2241,NA,203.7,289,5.2,716,179,7,7,138.4,67,267.25,1069,4,56,14,26,6.5,7502,1875.5,2004,5,3,27,90,Falcons,Virginia
Matthew Stafford,DET,2009,21,74,230,61,201,11.3,169,20,5.23,10,75,3.64,3.4,53.3,10,5.3,4.3,3,1,1,24,2,13,6,2267,30,226.7,377,6,564,188,7.8,7.4,133.3,57.1,329,987,3,51,17,33,11,7731,2577,2009,1,1,1,1,Lions,Georgia
Michael Vick,ATL,2002,22,72,215,81.6,231,12.7,206,8,6.01,15,74,5.93,3.8,54.9,15,1.9,6.9,17,2,2,33,8,16,7,2936,NA,195.7,421,7.3,192,96,9.6,9.4,150.6,56,171.5,343,2,21,10.5,11,5.5,3299,1649.5,2001,1,1,1,1,Falcons,Virginia Tech
Mike Boryla,PHI,1976,25,75,200,53.4,123,10.1,235,14,3.68,11,48,2.04,3.7,50,10,5.7,3.2,3,1,1,29,3,9,5.1,1247,NA,113.4,246,10.5,337,112.33,6.4,5.2,113.1,52.9,212.33,637,3,31,10.33,30,10,4062,1354,1974,6,4,9,87,Bengals,Stanford
Mike Livingston,KAN,1973,28,76,212,65.2,75,12.2,124,7,4.92,8,48,3.71,4.1,51.7,8,4.8,5,4,NA,NA,16,4,6,6.3,916,NA,114.5,145,9.9,207,69,6.6,4.9,114.1,55.9,123.33,370,3,16,5.33,21,7,2432,810.67,1968,4,2,21,48,Chiefs,Southern Methodist
Mike McMahon,PHI,2005,26,74,215,55.2,94,12.3,96,8,4.7,9,48,3.55,2.4,45.4,7,3.9,4.3,1,2,2,19,2,5,5.6,1158,NA,128.7,207,8.4,482,120.5,6.8,5.2,109.7,49.5,243.5,974,4,41,10.25,52,13,6608,1652,2001,8,5,18,149,Lions,Rutgers
Mike Pagel,BAL,1982,22,74,206,62.4,111,11.5,129,7,4.86,9,53,3.95,2.3,50.2,9,3.2,4.8,6,1,0,16,0,5,5.8,1281,NA,142.3,221,6.8,405,101.25,6.6,6.2,121.8,51.5,196.5,786,4,54,13.5,31,7.75,5196,1299,1982,5,4,1,84,Colts,Arizona State
Mike Phipps,CLE,1972,25,75,208,61,144,13.8,183,16,5.52,14,80,4.12,4.3,47.2,13,5.2,5,11,NA,NA,23,10,13,6.5,1994,NA,142.4,305,7,375,125,7.4,6.3,120.7,51.2,244.33,733,3,37,12.33,34,11.33,5423,1807.67,1970,2,1,3,3,Browns,Purdue
Mike Taliaferro,BOS,1968,27,74,202,26.9,67,13.3,NA,15,NA,7,70,NA,2.3,38.1,7,8.5,1.7,-1,NA,NA,NA,3,4,5.1,889,NA,127,176,NA,117,29.25,5.3,1.8,73.3,38.7,75.5,302,4,7,1.75,27,6.75,1612,403,1963,6,10,12,138,Giants,Illinois
Milt Plum,CLE,1958,23,73,205,77.9,102,15.9,NA,11,NA,12,74,NA,5.8,54,12,5.8,7.1,9,NA,NA,NA,9,11,8.6,1619,NA,134.9,189,NA,40,40,9,6.4,136.7,53.3,75,75,1,6,6,7,7,675,675,1957,3,2,4,17,Browns,Penn State
Norm Snead,WAS,1961,22,76,215,51.6,172,13.6,NA,22,NA,14,80,NA,2.9,45.9,14,5.9,4.2,6,0,0,NA,1,11,6.2,2337,NA,166.9,375,NA,272,90.67,6.7,4.1,100.9,45.3,200.33,601,3,27,9,47,15.67,4040,1346.67,1961,1,1,2,2,Redskins,Wake Forest
Pat Haden,RAM,1976,23,71,182,94.8,60,14.9,86,4,6.86,10,65,6.69,7.6,57.1,7,3.8,8.3,5,2,2,13,5,8,8.5,896,NA,89.6,105,11,241,80.33,7,6,123.1,51.5,156,468,3,33,11,25,8.33,3288,1096,1975,9,7,20,176,Rams,USC
Pat Ryan,NYJ,1984,29,75,210,72,156,12.4,214,14,5.48,16,44,4.37,4.9,54.7,11,4.9,5.6,7,1,1,30,6,14,6.8,1939,NA,121.2,285,9.5,31,10.33,5.3,2.6,76.7,40.8,25.33,76,3,1,0.33,5,1.67,405,135,1978,13,11,3,281,Jets,Tennessee
Patrick Ramsey,WAS,2003,24,74,225,75.8,179,12.1,206,9,5.34,11,64,5,4.2,53.1,11,2.7,6.1,7,0,2,30,4,14,6.4,2166,NA,196.9,337,8.2,798,199.5,6.8,6.2,125.9,58.8,339,1356,4,72,18,51,12.75,9205,2301.25,2002,3,1,32,32,Redskins,Tulane
Paul McDonald,CLE,1984,26,74,185,67.3,271,12.8,345,23,5.73,16,64,4.34,2.8,55,16,4.7,5.5,9,1,3,53,5,14,7,3472,NA,217,493,9.7,299,74.75,8.3,8.6,148.2,59.7,125.25,501,4,37,9.25,13,3.25,4138,1034.5,1980,7,4,26,109,Browns,USC
Pete Beathard,2TM,1967,25,73,200,43.8,94,11.9,NA,14,NA,11,43,NA,3.9,40.7,9,6.1,2.9,3,NA,NA,NA,7,9,4.8,1114,NA,101.3,231,NA,160,53.33,7.2,6.2,117.8,48.5,110,330,3,18,6,15,5,2374,791.33,1964,1,1,5,5,Lions,USC
Pete Liske,DEN,1970,28,75,200,55.3,112,12,228,11,4.18,11,74,2.85,2.9,47.1,9,4.6,4.1,5,NA,NA,28,5,7,5.6,1340,NA,121.8,238,10.5,195,65,6.7,6.8,127.7,54.9,118.33,355,3,24,8,10,3.33,2370,790,1963,4,10,4,130,Eagles,Penn State
Peyton Manning,IND,1998,22,77,230,71.2,326,11.5,109,NA,6.08,16,78,4.84,4.5,56.7,16,4.9,5.2,11,1,1,22,3,26,6.5,3739,NA,233.7,NA,3.7,863,215.75,8.1,8.3,147.1,62.5,345.25,1381,4,89,22.25,33,8.25,11201,2800.25,1998,1,1,1,1,Colts,Tennessee
Philip Rivers,SDG,2006,25,77,228,92,284,11.9,144,9,6.66,16,57,6.73,4.8,61.7,16,2,7.4,17,NA,4,27,14,22,7.4,3388,NA,211.8,460,5.5,1087,271.75,7.9,8.1,144.1,63.5,427.75,1711,4,95,23.75,34,8.5,13484,3371,2004,2,1,4,4,Giants,North Carolina State
Quincy Carter,DAL,2001,24,74,213,63,90,11.9,56,7,5.4,8,64,4.26,2.8,51.1,8,4,4.9,3,0,2,12,3,5,6.1,1072,NA,134,176,6.4,483,161,7.6,7.1,127.8,56.6,284.33,853,3,35,11.67,25,8.33,6447,2149,2001,3,2,22,53,Cowboys,Georgia
Randall Cunningham,PHI,1987,24,76,212,83,223,12.5,NA,12,5.23,12,70,5.06,5.7,54.9,12,3,6.7,11,2,3,NA,7,23,6.9,2786,NA,232.2,406,11.7,614,204.67,7.8,7.7,137.3,58.1,352.33,1057,3,61,20.33,30,10,8290,2763.33,1985,1,2,9,37,Eagles,UNLV
Randy Wright,GNB,1986,25,74,200,66.2,263,12.3,243,23,5.72,16,62,4.4,3.5,53.5,16,4.7,5.2,8,0,0,33,4,17,6.6,3247,NA,202.9,492,6.3,368,122.67,7,6,120.2,53.1,231,693,3,36,12,32,10.67,4880,1626.67,1984,8,6,13,153,Packers,Wisconsin
Richard Todd,NYJ,1977,24,74,207,60.3,133,14,203,17,5.74,12,87,3.86,4.2,50.2,11,6.4,5,8,1,3,24,3,11,7,1863,NA,155.3,265,8.3,101,33.67,8.7,8.7,146.9,53.4,63,189,3,16,5.33,7,2.33,1642,547.33,1976,1,1,6,6,Jets,Alabama
Rick Mirer,SEA,1993,23,75,210,67,274,10.3,235,17,4.87,16,53,3.89,2.5,56.4,16,3.5,4.7,10,1,1,NA,6,12,5.8,2833,NA,177.1,486,8.8,377,94.25,8.6,8.3,139,54,174.5,698,4,41,10.25,23,5.75,5997,1499.25,1993,2,1,2,2,Seahawks,Notre Dame
Rob Johnson,BUF,2000,27,76,204,82.2,175,12.1,292,7,5.16,12,74,4.95,3.9,57.2,11,2.3,6.7,7,2,1,49,4,12,6.9,2125,NA,177.1,306,13.8,676,169,8.1,8,145.6,64.6,261.5,1046,4,58,14.5,28,7,8472,2118,1995,7,4,1,99,Jaguars,USC
Rodney Peete,DET,1989,23,72,230,67,103,14.4,164,9,5.92,8,69,4.55,2.6,52.8,8,4.6,6,6,1,1,27,3,5,7.6,1479,NA,184.9,195,12.2,630,157.5,7.6,6.9,130.9,58.3,270.25,1081,4,54,13.5,42,10.5,8225,2056.25,1989,9,6,2,141,Lions,USC
Roger Staubach,DAL,1971,29,75,197,NA,126,14.9,175,4,7.29,13,85,NA,7.1,59.7,10,NA,NA,14,1,2,23,10,15,NA,1882,NA,144.8,211,9.8,128,128,8.9,8,145.9,66.7,192,192,1,7,7,7,7,1702,1702,1964,11,10,3,129,Cowboys,Navy
Russell Wilson,SEA,2012,24,71,204,100,252,12.4,203,10,6.84,16,67,7.01,6.6,64.1,16,2.5,8.1,16,4,5,33,11,26,7.9,3118,69.59,194.9,393,7.7,907,226.75,7.9,8.4,147.2,60.9,372.25,1489,4,109,27.25,30,7.5,11720,2930,2012,6,3,12,75,Seahawks,Wisconsin
Rusty Hilger,DET,1988,26,76,205,48.9,126,12.4,251,12,3.88,11,56,2.69,2.3,41.2,9,3.9,3.8,2,NA,NA,31,3,7,5.1,1558,NA,141.6,306,9.2,316,79,6.9,6,119.3,55.1,143.25,573,4,24,6,23,5.75,3982,995.5,1985,4,6,3,143,Raiders,Oklahoma State
Ryan Leaf,SDG,1998,22,77,245,39,111,11.6,140,15,4.3,10,67,1.93,0.8,45.3,9,6.1,2.7,-1,1,2,22,3,2,5.3,1289,NA,128.9,245,8.2,473,157.67,8.4,8.6,141.4,53.8,293.33,880,3,59,19.67,24,8,7433,2477.67,1998,2,1,2,2,Chargers,Washington State
Ryan Tannehill,MIA,2012,24,76,221,76.1,282,11.7,234,13,5.9,16,80,5.23,2.5,58.3,16,2.7,6.1,10,1,1,35,7,12,6.8,3294,52.28,205.9,484,6.7,484,121,7,6.9,134.2,62.5,193.5,774,4,42,10.5,21,5.25,5450,1362.5,2012,3,1,8,8,Dolphins,Texas A&M
Sam Bradford,STL,2010,23,76,236,76.5,354,9.9,244,15,5.24,16,49,4.73,3.1,60,16,2.5,5.4,9,NA,NA,34,7,18,6,3512,41.5,219.5,590,5.4,604,201.33,9.4,10.6,175.6,67.6,297.67,893,3,88,29.33,16,5.33,8403,2801,2010,1,1,1,1,Rams,Oklahoma
Scott Campbell,ATL,1987,25,72,196,65,136,12.7,178,14,5.44,12,44,4,4.2,52.3,9,5.4,5.1,4,1,1,25,2,11,6.6,1728,NA,144,260,8.8,609,152.25,7.2,6.3,124.2,57.5,265,1060,4,45,11.25,41,10.25,7636,1909,1984,11,7,23,191,Steelers,Purdue
Scott Hunter,GNB,1971,24,74,205,46.1,75,16.1,81,17,6.49,13,77,2.9,4.3,46,10,10.4,3.6,5,1,2,11,4,7,7.4,1210,NA,93.1,163,6.3,382,127.33,7.3,6,121.8,56.8,224,672,3,27,9,32,10.67,4899,1633,1971,10,6,10,140,Packers,Alabama
Scott Mitchell,MIA,1993,25,78,240,84.2,133,13.3,49,8,7.18,13,77,6.68,5.2,57.1,7,3.4,7.1,7,NA,NA,7,3,12,7.6,1773,NA,136.4,233,NA,669,223,7.7,7.4,135.2,57.4,388.33,1165,3,69,23,38,12.67,8981,2993.67,1990,8,4,12,93,Dolphins,Utah
Seneca Wallace,SEA,2008,28,71,196,87,141,10.9,76,3,5.69,10,90,6.02,4.5,58.3,8,NA,6.7,5,1,1,14,3,11,6.3,1532,NA,153.2,242,5.5,411,205.5,7.4,6.5,124.6,57.7,356,712,2,26,13,27,13.5,5289,2644.5,2003,7,4,13,110,Seahawks,Iowa State
Shaun King,TAM,2000,23,73,215,75.8,233,11.9,240,13,5.44,16,75,4.95,4.2,54.4,16,3,5.9,13,3,3,37,10,18,6.5,2769,NA,173.1,428,8,669,167.25,7.2,7.2,130.6,55.7,300.25,1201,4,72,18,34,8.5,8695,2173.75,1999,6,2,19,50,Buccaneers,Tulane
Sonny Jurgensen,PHI,1961,27,71,202,88.1,NA,15.8,NA,NA,NA,14,69,NA,7.7,56.5,14,5.8,7.9,16,NA,3,NA,10,NA,8.9,NA,NA,NA,416,NA,28,28,6.3,2.4,91.1,47.5,59,59,1,2,2,6,6,371,371,1957,6,4,6,43,Eagles,Duke
Steve Bartkowski,ATL,1975,23,76,216,59.3,115,14.5,197,15,5.35,11,68,3.83,5.1,45.1,11,5.9,4.9,6,NA,NA,19,4,13,6.5,1662,NA,151.1,255,6.9,313,104.33,7.2,5.8,112.7,50.6,206.33,619,3,20,6.67,27,9,4434,1478,1975,1,1,1,1,Falcons,California
Steve Beuerlein,RAI,1988,23,75,220,66.6,105,15.6,215,7,5.41,10,57,4.82,3.4,44.1,8,2.9,6.3,6,0,1,26,4,8,6.9,1643,NA,164.3,238,9.8,473,118.25,7.7,6,120.3,55.6,212.5,850,4,27,6.75,44,11,6527,1631.75,1987,8,4,26,110,Raiders,Notre Dame
Steve Bono,KAN,1995,33,76,215,79.5,293,10.7,158,10,5.48,16,60,5.42,4,56.3,16,1.9,5.9,11,NA,1,21,13,21,6,3121,NA,195.1,520,3.9,155,51.67,6.6,5.6,114.3,54.8,94.33,283,3,10,3.33,11,3.67,1875,625,1985,3,6,2,142,Vikings,UCLA
Steve Dils,MIN,1983,28,73,190,66.8,239,11.9,254,16,5.38,16,68,4.34,2.5,53.8,12,3.6,5.3,8,1,3,37,5,11,6.4,2840,NA,177.5,444,7.7,291,145.5,7.6,7.1,138.3,63.1,230.5,461,2,26,13,16,8,3488,1744,1979,5,4,15,97,Vikings,Stanford
Steve Fuller,KAN,1979,22,76,198,55.8,146,10.2,244,14,4.04,16,40,2.38,2.2,54.1,12,5.2,3.6,4,0,1,37,6,6,5.5,1484,NA,92.8,270,12.1,287,71.75,7.9,7,123.4,51.8,138.5,554,4,22,5.5,21,5.25,4359,1089.75,1979,3,1,23,23,Chiefs,Clemson
Steve Pelluer,DAL,1986,24,76,209,67.9,215,12.7,362,17,5.56,16,84,4.14,2.1,56.9,9,4.5,5.6,10,1,2,47,3,8,7.2,2727,NA,170.4,378,11.1,436,109,6.1,5.3,115.2,57.7,188.75,755,4,30,7.5,26,6.5,4603,1150.75,1984,5,5,1,113,Cowboys,Washington
Steve Spurrier,SFO,1972,27,74,204,75.9,147,13.5,114,16,6.6,13,81,5.33,6.7,54.6,9,5.9,6,9,1,0,14,6,18,7.4,1983,NA,152.5,269,4.9,392,130.67,7,6,123.7,56.6,230.67,692,3,36,12,31,10.33,4848,1616,1967,1,1,3,3,49ers,Florida
Steve Stenstrom,CHI,1998,27,74,206,70.4,112,11.2,137,6,5.19,7,48,4.3,2,57.1,7,3.1,5.4,4,NA,NA,19,1,4,6.4,1252,NA,178.9,196,8.8,866,216.5,7.9,7.7,141.4,62.8,345,1380,4,74,18.5,38,9.5,10911,2727.75,1995,10,4,36,134,Chiefs,Stanford
Tarvaris Jackson,MIN,2007,24,74,226,70.8,171,11.2,70,12,5.88,12,71,4.73,3.1,58.2,12,4.1,5.3,6,1,2,19,8,9,6.5,1911,NA,159.3,294,6.1,17,8.5,4.1,1.7,64.1,35.4,24,48,2,1,0.5,3,1.5,196,98,2006,5,2,32,64,Vikings,Alabama State
Tim Couch,CLE,1999,22,76,220,73.2,223,11,NA,13,4.59,15,78,3.96,3.8,55.9,14,3.3,5.4,8,2,2,NA,2,15,6.1,2447,NA,163.1,399,12.3,795,265,7.1,7,141.7,67.1,394.67,1184,3,74,24.67,35,11.67,8435,2811.67,1999,1,1,1,1,Browns,Kentucky
Tim Rattay,SFO,2004,27,72,200,78.1,198,11,211,10,5.41,9,65,4.72,3.1,60.9,9,3.1,5.9,5,1,1,37,1,10,6.7,2169,NA,241,325,10.2,1015,338.33,8.2,8.7,154.3,65.4,517.33,1552,3,115,38.33,35,11.67,12746,4248.67,2000,10,7,6,212,49ers,Louisiana Tech
Tim Tebow,DEN,2011,24,74,236,72.9,126,13.7,225,6,4.95,14,56,4.85,4.4,46.5,11,2.2,6.3,8,5,6,33,7,12,6.4,1729,29.91,123.5,271,10.9,661,165.25,9.3,10.4,170.8,66.4,248.75,995,4,88,22,16,4,9285,2321.25,2010,2,1,25,25,Broncos,Florida
Todd Blackledge,KAN,1984,23,75,225,59.2,147,11.6,136,11,5.1,11,46,3.88,2,50,8,3.7,4.5,3,1,1,14,4,6,5.8,1707,NA,155.2,294,4.5,341,113.67,7.3,5.8,121.4,51.8,219.33,658,3,41,13.67,41,13.67,4812,1604,1983,2,1,7,7,Chiefs,Penn State
Todd Collins,BUF,1997,26,76,225,69.5,215,11,278,13,4.86,14,77,4.06,3.1,55,13,3.3,5.2,6,2,4,39,5,12,6.1,2367,NA,169.1,391,9.1,457,114.25,8.2,8,145,64.3,177.75,711,4,37,9.25,20,5,5858,1464.5,1995,3,2,13,45,Bills,Michigan
Todd Marinovich,RAI,1992,23,76,215,58.2,81,13.6,154,9,5.12,7,68,3.48,3,49.1,7,5.5,4.8,2,0,1,20,3,5,6.7,1102,NA,157.4,165,10.8,415,207.5,7.4,6.6,130.7,61.6,337,674,2,29,14.5,25,12.5,5001,2500.5,1991,2,1,24,24,Raiders,USC
Tom Brady,NWE,2001,24,76,225,86.5,264,10.8,216,12,5.79,15,91,5.39,4.4,63.9,14,2.9,6.4,12,4,NA,41,11,18,6.9,2843,NA,189.5,413,9,409,102.25,7.5,7.1,134.1,61.5,166.25,665,4,31,7.75,19,4.75,4982,1245.5,2000,7,6,33,199,Patriots,Michigan
Tom Tupa,PHO,1991,25,76,225,62,165,12.4,197,13,5.47,11,62,4.1,1.9,52.4,11,4.1,5,NA,NA,NA,24,4,6,6.5,2053,NA,186.6,315,7.1,171,42.75,7.4,6.6,126.9,56.3,76,304,4,15,3.75,12,3,2252,563,1988,1,3,13,68,Cardinals,Ohio State
Tommy Kramer,MIN,1979,24,74,200,69.3,315,10.8,249,24,5.23,16,55,4.2,4.1,55.7,16,4.2,4.9,10,3,3,36,7,23,6,3397,NA,212.3,566,6,507,126.75,6,4.4,100.9,48.9,259,1036,4,37,9.25,52,13,6197,1549.25,1977,2,1,27,27,Vikings,Rice
Tommy Maddox,PIT,2002,31,76,220,85.2,234,12.1,148,16,6.67,15,72,5.88,5.3,62.1,11,4.2,6.7,9,3,3,26,7,20,7.5,2836,NA,189.1,377,6.5,391,195.5,8,7,132.9,58.4,335,670,2,33,16.5,30,15,5363,2681.5,1992,2,1,25,25,Broncos,UCLA
Tony Banks,STL,1996,23,76,230,71,192,NA,NA,15,5.38,14,77,4.48,4.1,52.2,13,4.1,5.9,9,NA,NA,48,5,15,6.9,2544,NA,181.7,368,11.5,301,150.5,8.3,7.2,135.5,60.7,248,496,2,20,10,21,10.5,4129,2064.5,1996,1,2,12,42,Rams,Michigan State
Tony Eason,NWE,1984,25,76,212,93.4,259,12.5,409,8,5.75,16,76,5.96,5.3,60.1,13,NA,7.7,11,4,4,NA,7,23,7.5,3228,NA,201.8,431,12,526,263,7.7,7.1,133.8,61.4,428,856,2,37,18.5,29,14.5,6608,3304,1983,4,1,15,15,Patriots,Illinois
Trent Dilfer,TAM,1995,23,76,225,60.1,224,12.4,331,18,5.29,16,64,3.71,1,54,16,4.3,4.9,6,1,3,47,7,4,6.7,2774,NA,173.4,415,10.2,511,170.33,8.8,8.9,148.3,59.1,288.33,865,3,53,17.67,22,7.33,7631,2543.67,1994,2,1,6,6,Buccaneers,Fresno State
Trent Edwards,BUF,2007,24,76,231,70.4,151,10.8,105,8,5.43,10,70,4.64,2.6,56.1,9,3,5.2,4,1,2,12,5,7,6.1,1630,NA,163,269,4.3,488,122,6.3,5.4,115,56.2,217,868,4,36,9,33,8.25,5443,1360.75,2007,6,3,29,92,Bills,Stanford
Troy Aikman,DAL,1989,23,76,219,55.7,155,11.3,155,18,5.11,11,75,3.09,3.1,52.9,11,6.1,3.8,2,NA,NA,19,0,9,6,1749,NA,159,293,6.1,439,109.75,8.3,8.5,149.4,63.3,173.5,694,4,45,11.25,18,4.5,5781,1445.25,1989,1,1,1,1,Cowboys,UCLA
Ty Detmer,PHI,1996,29,72,189,80.8,238,12.2,171,13,6.4,13,42,5.74,3.7,59.4,11,3.2,6.5,10,2,3,27,7,15,7.3,2911,NA,223.9,401,6.3,1000,250,9.8,9.5,162.5,62.9,397.25,1589,4,123,30.75,67,16.75,15607,3901.75,1992,16,9,6,230,Packers,Brigham Young
Vince Evans,CHI,1980,25,74,215,66.2,148,13.8,205,16,6.03,13,89,4.39,4,53.2,10,5.8,5.5,10,1,0,26,5,11,7.3,2039,NA,156.8,278,8.6,136,45.33,7.4,5.9,111.2,44.6,101.67,305,3,14,4.67,16,5.33,2248,749.33,1977,9,6,1,140,Bears,USC
Vince Ferragamo,RAM,1980,26,75,212,89.7,240,13.3,191,19,7.04,16,74,6.45,NA,59.4,15,4.7,7.3,11,0,0,23,11,30,7.9,3199,NA,199.9,404,5.4,362,90.5,7.6,6.7,130.5,54.4,166.25,665,4,45,11.25,34,8.5,5061,1265.25,1977,4,4,7,91,Rams,Nebraska
Vince Young,TEN,2006,23,77,230,66.7,184,12,129,13,5.42,15,53,4.52,3.4,51.5,13,3.6,5.2,9,NA,NA,25,8,12,6.2,2199,NA,146.6,357,6.5,444,148,8.4,7.9,144.9,61.8,239.33,718,3,44,14.67,28,9.33,6040,2013.33,2006,1,1,3,3,Titans,Texas
Vinny Testaverde,TAM,1988,25,77,235,48.8,222,14.6,292,NA,5.91,15,59,3.27,2.8,47.6,15,7.5,4.1,6,2,3,33,5,13,7,3240,NA,216,466,6.6,413,103.25,9,8.7,152.9,61.3,168.5,674,4,48,12,25,6.25,6058,1514.5,1987,1,1,1,1,Buccaneers,Miami (FL)
Warren Rabb,BUF,1962,25,75,204,47.7,67,17.9,NA,14,NA,14,76,NA,5.6,37.9,7,7.9,4.3,4,1,1,NA,5,10,6.8,1196,NA,85.4,177,NA,86,28.67,5.6,3.9,101,47,61,183,3,11,3.67,12,4,1030,343.33,1960,3,2,3,15,Lions,Louisiana State
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,3,1,13,32,4,27,0,3,29,6,4,0,5,4,1,58,58,32,1,4,4,1,188,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
