,draft_Year,draft_No,draft_Round,draft_Pick,draft_Player,name,draft_Team,draft_College
1,2013,1,1,16,16,E.J. Manuel,Bills,Florida State
2,2013,2,2,7,39,Geno Smith,Jets,West Virginia
3,2013,3,3,11,73,Mike Glennon,Buccaneers,North Carolina State
4,2013,4,4,1,98,Matt Barkley,Eagles,USC
5,2013,5,4,13,110,Ryan Nassib,Giants,Syracuse
6,2013,6,4,15,112,Tyler Wilson,Raiders,Arkansas
7,2013,7,4,18,115,Landry Jones,Steelers,Oklahoma
8,2013,8,7,15,221,Brad Sorensen,Chargers,Southern Utah
9,2013,9,7,28,234,Zac Dysert,Broncos,Miami (OH)
10,2013,10,7,31,237,B.J. Daniels,49ers,South Florida
11,2013,11,7,43,249,Sean Renfree,Falcons,Duke
12,2012,1,1,1,1,Andrew Luck,Colts,Stanford
13,2012,2,1,2,2,Robert Griffin III,Redskins,Baylor
14,2012,3,1,8,8,Ryan Tannehill,Dolphins,Texas A&M
15,2012,4,1,22,22,Brandon Weeden,Browns,Oklahoma State
16,2012,5,2,25,57,Brock Osweiler,Broncos,Arizona State
17,2012,6,3,12,75,Russell Wilson,Seahawks,Wisconsin
18,2012,7,3,25,88,Nick Foles,Eagles,Arizona
19,2012,8,4,7,102,Kirk Cousins,Redskins,Michigan State
20,2012,9,6,15,185,Ryan Lindley,Cardinals,San Diego State
21,2012,10,7,36,243,B.J. Coleman,Packers,Tennessee-Chattanooga
22,2012,11,7,46,253,Chandler Harnish,Colts,Northern Illinois
24,2011,1,1,1,1,Cam Newton,Panthers,Auburn
25,2011,2,1,8,8,Jake Locker,Titans,Washington
26,2011,3,1,10,10,Blaine Gabbert,Jaguars,Missouri
27,2011,4,1,12,12,Christian Ponder,Vikings,Florida State
28,2011,5,2,3,35,Andy Dalton,Bengals,Texas Christian
29,2011,6,2,4,36,Colin Kaepernick,49ers,Nevada
30,2011,7,3,10,74,Ryan Mallett,Patriots,Arkansas
31,2011,8,5,4,135,Ricky Stanzi,Chiefs,Iowa
32,2011,9,5,21,152,T.J. Yates,Texans,North Carolina
33,2011,10,5,29,160,Nathan Enderle,Bears,Idaho
34,2011,11,6,15,180,Tyrod Taylor,Ravens,Virginia Tech
35,2011,12,7,5,208,Greg McElroy,Jets,Alabama
36,2010,1,1,1,1,Sam Bradford,Rams,Oklahoma
37,2010,2,1,25,25,Tim Tebow,Broncos,Florida
38,2010,3,2,16,48,Jimmy Clausen,Panthers,Notre Dame
39,2010,4,3,21,85,Colt McCoy,Browns,Texas
40,2010,5,4,24,122,Mike Kafka,Eagles,Northwestern
41,2010,6,5,24,155,John Skelton,Cardinals,Fordham
42,2010,7,5,37,168,Jonathan Crompton,Chargers,Tennessee
43,2010,8,6,7,176,Rusty Smith,Titans,Florida Atlantic
44,2010,9,6,12,181,Dan LeFevour,Bears,Central Michigan
45,2010,10,6,30,199,Joe Webb,Vikings,Alabama-Birmingham
46,2010,11,6,35,204,Tony Pike,Panthers,Cincinnati
47,2010,12,7,2,209,Levi Brown,Bills,Troy
48,2010,13,7,32,239,Sean Canfield,Saints,Oregon State
49,2010,14,7,43,250,Zac Robinson,Patriots,Oklahoma State
50,2009,1,1,1,1,Matthew Stafford,Lions,Georgia
51,2009,2,1,5,5,Mark Sanchez,Jets,USC
52,2009,3,1,17,17,Josh Freeman,Buccaneers,Kansas State
53,2009,4,2,12,44,Pat White,Dolphins,West Virginia
54,2009,5,4,1,101,Stephen McGee,Cowboys,Texas A&M
55,2009,6,5,15,151,Rhett Bomar,Giants,Sam Houston State
56,2009,7,5,35,171,Nate Davis,49ers,Ball State
57,2009,8,6,1,174,Tom Brandstater,Broncos,Fresno State
58,2009,9,6,5,178,Mike Teel,Seahawks,Rutgers
59,2009,10,6,23,196,Keith Null,Rams,West Texas A&M
60,2009,11,6,28,201,Curtis Painter,Colts,Purdue
61,2009,12,7,23,232,Julian Edelman,Patriots,Kent State
62,2008,1,1,3,3,Matt Ryan,Falcons,Boston College
63,2008,2,1,18,18,Joe Flacco,Ravens,Delaware
64,2008,3,2,25,56,Brian Brohm,Packers,Louisville
65,2008,4,2,26,57,Chad Henne,Dolphins,Michigan
66,2008,5,3,31,94,Kevin O'Connell,Patriots,San Diego State
67,2008,6,5,2,137,John David Booty,Vikings,USC
68,2008,7,5,21,156,Dennis Dixon,Steelers,Oregon
69,2008,8,5,25,160,Josh Johnson,Buccaneers,San Diego
70,2008,9,5,27,162,Erik Ainge,Jets,Tennessee
71,2008,10,6,20,186,Colt Brennan,Redskins,Hawaii
72,2008,11,6,32,198,Andre' Woodson,Giants,Kentucky
73,2008,12,7,2,209,Matt Flynn,Packers,Louisiana State
74,2008,13,7,16,223,Alex Brink,Texans,Washington State
75,2007,1,1,1,1,JaMarcus Russell,Raiders,Louisiana State
76,2007,2,1,22,22,Brady Quinn,Browns,Notre Dame
77,2007,3,2,4,36,Kevin Kolb,Eagles,Houston
78,2007,4,2,8,40,John Beck,Dolphins,Brigham Young
79,2007,5,2,11,43,Drew Stanton,Lions,Michigan State
80,2007,6,3,29,92,Trent Edwards,Bills,Stanford
81,2007,7,4,4,103,Isaiah Stanback,Cowboys,Washington
82,2007,8,5,14,151,Jeff Rowe,Bengals,Nevada
83,2007,9,5,37,174,Troy Smith,Ravens,Ohio State
84,2007,10,6,31,205,Jordan Palmer,Redskins,Texas-El Paso
85,2007,11,7,7,217,Tyler Thigpen,Vikings,Coastal Carolina
86,2006,1,1,3,3,Vince Young,Titans,Texas
87,2006,2,1,10,10,Matt Leinart,Cardinals,USC
88,2006,3,1,11,11,Jay Cutler,Broncos,Vanderbilt
89,2006,4,2,17,49,Kellen Clemens,Jets,Oregon
90,2006,5,2,32,64,Tarvaris Jackson,Vikings,Alabama State
91,2006,6,3,17,81,Charlie Whitehurst,Chargers,Clemson
92,2006,7,3,21,85,Brodie Croyle,Chiefs,Alabama
93,2006,8,5,15,148,Ingle Martin,Packers,Furman
94,2006,9,5,32,164,Omar Jacobs,Steelers,Bowling Green
95,2006,10,6,24,193,Reggie McNeal,Bengals,Texas A&M
96,2006,11,6,25,194,Bruce Gradkowski,Buccaneers,Toledo
97,2006,12,7,15,223,D.J. Shockley,Falcons,Georgia
98,2005,1,1,1,1,Alex Smith,49ers,Utah
99,2005,2,1,24,24,Aaron Rodgers,Packers,California
100,2005,3,1,25,25,Jason Campbell,Redskins,Auburn
101,2005,4,3,3,67,Charlie Frye,Browns,Akron
102,2005,5,3,5,69,Andrew Walter,Raiders,Arizona State
103,2005,6,3,21,85,David Greene,Seahawks,Georgia
104,2005,7,4,5,106,Kyle Orton,Bears,Purdue
105,2005,8,4,20,121,Stefan Lefors,Panthers,Louisville
106,2005,9,5,9,145,Dan Orlovsky,Lions,Connecticut
107,2005,10,5,16,152,Adrian McPherson,Saints,Florida State
108,2005,11,6,39,213,Derek Anderson,Ravens,Oregon State
109,2005,12,7,15,229,James Kilian,Chiefs,Tulsa
110,2005,13,7,16,230,Matt Cassel,Patriots,USC
111,2005,14,7,36,250,Ryan Fitzpatrick,Rams,Harvard
112,2004,1,1,1,1,Eli Manning,Chargers,Mississippi
113,2004,2,1,4,4,Philip Rivers,Giants,North Carolina State
114,2004,3,1,11,11,Ben Roethlisberger,Steelers,Miami (OH)
115,2004,4,1,22,22,J.P. Losman,Bills,Tulane
116,2004,5,3,27,90,Matt Schaub,Falcons,Virginia
117,2004,6,4,10,106,Luke McCown,Browns,Louisiana Tech
118,2004,7,5,16,148,Craig Krenzel,Bears,Ohio State
119,2004,8,6,20,185,Andy Hall,Eagles,Delaware
120,2004,9,6,22,187,Josh Harris,Ravens,Bowling Green
121,2004,10,6,28,193,Jim Sorgi,Colts,Wisconsin
122,2004,11,6,36,201,Jeff Smoker,Rams,Michigan State
123,2004,12,7,1,202,John Navarre,Cardinals,Michigan
124,2004,13,7,16,217,Cody Pickett,49ers,Washington
125,2004,14,7,17,218,Casey Bramlet,Bengals,Wyoming
126,2004,15,7,24,225,Matt Mauck,Broncos,Louisiana State
127,2004,16,7,47,248,B.J. Symons,Texans,Texas Tech
128,2004,17,7,49,250,Bradlee Van Pelt,Broncos,Colorado State
129,2003,1,1,1,1,Carson Palmer,Bengals,USC
130,2003,2,1,7,7,Byron Leftwich,Jaguars,Marshall
131,2003,3,1,19,19,Kyle Boller,Ravens,California
132,2003,4,1,22,22,Rex Grossman,Bears,Florida
133,2003,5,3,24,88,Dave Ragone,Texans,Louisville
134,2003,6,3,33,97,Chris Simms,Buccaneers,Texas
135,2003,7,4,13,110,Seneca Wallace,Seahawks,Iowa State
136,2003,8,5,28,163,Brian St. Pierre,Steelers,Boston College
137,2003,9,6,19,192,Drew Henson,Texans,Michigan
138,2003,10,6,27,200,Brooks Bollinger,Jets,Wisconsin
139,2003,11,6,28,201,Kliff Kingsbury,Patriots,Texas Tech
140,2003,12,7,18,232,Gibran Hamdan,Redskins,Indiana
141,2003,13,7,27,241,Ken Dorsey,49ers,Miami (FL)
142,2002,1,1,1,1,David Carr,Texans,Fresno State
143,2002,2,1,3,3,Joey Harrington,Lions,Oregon
144,2002,3,1,32,32,Patrick Ramsey,Redskins,Tulane
145,2002,4,3,16,81,Josh McCown,Cardinals,Sam Houston State
146,2002,5,4,10,108,David Garrard,Jaguars,East Carolina
147,2002,6,4,19,117,Rohan Davey,Patriots,Louisiana State
148,2002,7,5,2,137,Randy Fasani,Panthers,Stanford
149,2002,8,5,23,158,Kurt Kittner,Falcons,Illinois
150,2002,9,5,28,163,Brandon Doman,49ers,Brigham Young
151,2002,10,5,29,164,Craig Nall,Packers,Northwestern State (LA)
152,2002,11,6,14,186,J.T. O'Sullivan,Saints,California-Davis
153,2002,12,6,33,205,Steve Bellisari,Rams,Ohio State
154,2002,13,7,5,216,Seth Burford,Chargers,Cal Poly-San Luis Obispo
155,2002,14,7,21,232,Jeff Kelly,Seahawks,Southern Mississippi
156,2002,15,7,24,235,Ronald Curry,Raiders,North Carolina
157,2002,16,7,25,236,Wes Pate,Ravens,Stephen F. Austin
158,2001,1,1,1,1,Michael Vick,Falcons,Virginia Tech
159,2001,2,2,1,32,Drew Brees,Chargers,Purdue
160,2001,3,2,22,53,Quincy Carter,Cowboys,Georgia
161,2001,4,2,28,59,Marques Tuiasosopo,Raiders,Washington
162,2001,5,4,11,106,Chris Weinke,Panthers,Florida State
163,2001,6,4,14,109,Sage Rosenfels,Redskins,Iowa State
164,2001,7,4,30,125,Jesse Palmer,Giants,Florida
165,2001,8,5,18,149,Mike McMahon,Lions,Rutgers
166,2001,9,5,24,155,A.J. Feeley,Eagles,Oregon
167,2001,10,6,9,172,Josh Booty,Seahawks,Louisiana State
168,2001,11,6,14,177,Josh Heupel,Dolphins,Oklahoma
169,2000,1,1,18,18,Chad Pennington,Jets,Marshall
170,2000,2,3,3,65,Giovanni Carmazzi,49ers,Hofstra
171,2000,3,3,13,75,Chris Redman,Ravens,Louisville
172,2000,4,5,34,163,Tee Martin,Steelers,Tennessee
173,2000,5,6,2,168,Marc Bulger,Saints,West Virginia
174,2000,6,6,17,183,Spergon Wynn,Browns,Southwest Texas State
175,2000,7,6,33,199,Tom Brady,Patriots,Michigan
176,2000,8,6,36,202,Todd Husak,Redskins,Stanford
177,2000,9,6,39,205,JaJuan Seider,Chargers,Florida A&M
178,2000,10,7,6,212,Tim Rattay,49ers,Louisiana Tech
179,2000,11,7,8,214,Jarious Jackson,Broncos,Notre Dame
180,2000,12,7,28,234,Joe Hamilton,Buccaneers,Georgia Tech
181,1999,1,1,1,1,Tim Couch,Browns,Kentucky
182,1999,2,1,2,2,Donovan McNabb,Eagles,Syracuse
183,1999,3,1,3,3,Akili Smith,Bengals,Oregon
184,1999,4,1,11,11,Daunte Culpepper,Vikings,Central Florida
185,1999,5,1,12,12,Cade McNown,Bears,UCLA
186,1999,6,2,19,50,Shaun King,Buccaneers,Tulane
187,1999,7,3,16,77,Brock Huard,Seahawks,Washington
188,1999,8,4,6,101,Joe Germaine,Rams,Ohio State
189,1999,9,4,36,131,Aaron Brooks,Packers,Virginia
190,1999,10,5,18,151,Kevin Daft,Oilers,California-Davis
191,1999,11,7,21,227,Michael Bishop,Patriots,Kansas State
192,1999,12,7,33,239,Chris Greisen,Cardinals,Northwest Missouri State
193,1999,13,7,39,245,Scott Covington,Bengals,Miami (FL)
194,1998,1,1,1,1,Peyton Manning,Colts,Tennessee
195,1998,2,1,2,2,Ryan Leaf,Chargers,Washington State
196,1998,3,2,30,60,Charlie Batch,Lions,Eastern Michigan
197,1998,4,3,25,86,Jonathan Quinn,Jaguars,Middle Tennessee State
198,1998,5,3,30,91,Brian Griese,Broncos,Michigan
199,1998,6,6,19,172,John Dutton,Dolphins,Nevada
200,1998,7,6,34,187,Matt Hasselbeck,Packers,Boston College
201,1998,8,7,43,232,Moses Moreno,Bears,Colorado State
202,1997,1,1,26,26,Jim Druckenmiller,49ers,Virginia Tech
203,1997,2,2,12,42,Jake Plummer,Cardinals,Arizona State
204,1997,3,4,3,99,Danny Wuerffel,Saints,Florida
205,1997,4,4,14,110,Pat Barnes,Chiefs,California
206,1997,5,6,8,171,Mike Cherry,Giants,Murray State
207,1997,6,6,28,191,Chuck Clements,Jets,Houston
208,1997,7,7,3,204,Tony Graziani,Falcons,Oregon
209,1997,8,7,6,207,Koy Detmer,Eagles,Colorado
210,1997,9,7,33,234,Wally Richardson,Ravens,Penn State
211,1997,10,7,36,237,Tony Corbin,Chargers,Sacramento State
212,1997,11,7,39,240,Ronnie McAda,Packers,Army
213,1996,1,2,12,42,Tony Banks,Rams,Michigan State
214,1996,2,3,24,85,Bobby Hoying,Eagles,Ohio State
215,1996,3,4,5,100,Jeff Lewis,Broncos,Northern Arizona
216,1996,4,4,35,130,Danny Kanell,Giants,Florida State
217,1996,5,6,36,203,Spence Fischer,Steelers,Duke
218,1996,6,6,38,205,Mike Cawley,Colts,James Madison
219,1996,7,7,29,238,Jon Stark,Ravens,Trinity
220,1996,8,7,31,240,Kyle Wachholtz,Packers,USC
221,1995,1,1,3,3,Steve McNair,Oilers,Alcorn State
222,1995,2,1,5,5,Kerry Collins,Panthers,Penn State
223,1995,3,2,13,45,Todd Collins,Bills,Michigan
224,1995,4,2,28,60,Kordell Stewart,Steelers,Colorado
225,1995,5,3,16,80,Stoney Case,Cardinals,New Mexico
226,1995,6,3,20,84,Eric Zeier,Browns,Georgia
227,1995,7,4,1,99,Rob Johnson,Jaguars,USC
228,1995,8,4,13,111,Chad May,Vikings,Kansas State
229,1995,9,4,21,119,Dave Barr,Eagles,California
230,1995,10,4,36,134,Steve Stenstrom,Chiefs,Stanford
231,1995,11,5,26,160,Jay Barker,Packers,Alabama
232,1995,12,6,20,191,Jerry Colquitt,Panthers,Tennessee
233,1995,13,6,26,197,Craig Whelihan,Chargers,Pacific
234,1995,14,7,5,213,John Walsh,Bengals,Brigham Young
235,1994,1,1,3,3,Heath Shuler,Redskins,Tennessee
236,1994,2,1,6,6,Trent Dilfer,Buccaneers,Fresno State
237,1994,3,4,8,111,Perry Klein,Falcons,C.W. Post
238,1994,4,4,13,116,Doug Nussmeier,Saints,Idaho
239,1994,5,6,17,178,Jim Miller,Steelers,Michigan State
240,1994,6,7,3,197,Gus Frerotte,Redskins,Tulsa
241,1994,7,7,4,198,Jay Walker,Patriots,Howard
242,1994,8,7,5,199,Steve Matthews,Chiefs,Memphis
243,1994,9,7,14,208,Glenn Foley,Jets,Boston College
244,1993,1,1,1,1,Drew Bledsoe,Patriots,Washington State
245,1993,2,1,2,2,Rick Mirer,Seahawks,Notre Dame
246,1993,3,3,2,58,Billy Joe Hobert,Raiders,Washington
247,1993,4,5,6,118,Mark Brunell,Packers,Washington
248,1993,5,7,24,192,Gino Torretta,Vikings,Miami (FL)
249,1993,6,8,20,216,Alex Van Pelt,Steelers,Pittsburgh
250,1993,7,8,23,219,Elvis Grbac,49ers,Michigan
251,1993,8,8,26,222,Trent Green,Chargers,Indiana
253,1992,1,1,6,6,David Klingler,Bengals,Houston
254,1992,2,1,25,25,Tommy Maddox,Broncos,UCLA
255,1992,3,2,12,40,Matt Blundin,Chiefs,Virginia
256,1992,4,2,18,46,Tony Sacca,Cardinals,Penn State
257,1992,5,4,2,86,Craig Erickson,Buccaneers,Miami (FL)
258,1992,6,4,18,102,Casey Weldon,Eagles,Florida State
259,1992,7,4,23,107,Will Furrer,Bears,Virginia Tech
260,1992,8,4,28,112,Chris Hakel,Redskins,William & Mary
261,1992,9,6,26,166,Jeff Blake,Jets,East Carolina
262,1992,10,8,2,198,Ricky Jones,Rams,Alabama State
263,1992,11,8,15,211,Kent Graham,Giants,Ohio State
264,1992,12,8,24,220,Bucky Richardson,Oilers,Texas A&M
265,1992,13,8,26,222,Mike Pawlawski,Buccaneers,California
266,1992,14,9,3,227,Brad Johnson,Vikings,Florida State
267,1992,15,9,4,228,T.J. Rubley,Rams,Tulsa
268,1992,16,9,6,230,Ty Detmer,Packers,Brigham Young
269,1992,17,11,16,296,Mark Barsotti,Dolphins,Fresno State
270,1992,18,12,8,316,Keithen McCant,Browns,Nebraska
271,1992,19,12,10,318,Cornelius Benton,Steelers,Connecticut
272,1992,20,12,27,335,Matt Rodgers,Bills,Iowa
273,1991,1,1,16,16,Dan McGwire,Seahawks,San Diego State
274,1991,2,1,24,24,Todd Marinovich,Raiders,USC
275,1991,3,2,6,33,Brett Favre,Falcons,Southern Mississippi
276,1991,4,2,7,34,Browning Nagle,Jets,Louisville
277,1991,5,4,1,84,Scott Zolak,Patriots,Maryland
278,1991,6,4,16,99,Donald Hollas,Bengals,Rice
279,1991,7,4,23,106,Bill Muscrave,Cowboys,Oregon
280,1991,8,5,20,131,Craig Erickson,Eagles,Miami (FL)
281,1991,9,7,23,190,Paul Justin,Bears,Arizona State
282,1991,10,10,10,260,Pat O'Hara,Buccaneers,USC
283,1991,11,11,6,284,Shawn Moore,Broncos,Virginia
284,1991,12,12,3,309,Jeff Bridewell,Cardinals,California-Davis
285,1991,13,12,28,334,Larry Wanke,Giants,John Carroll
286,1990,1,1,1,1,Jeff George,Colts,Illinois
287,1990,2,1,7,7,Andre Ware,Lions,Houston
288,1990,3,3,6,59,Tommy Hodson,Patriots,Louisiana State
289,1990,4,3,10,63,Peter Tom Willis,Bears,Florida State
290,1990,5,3,17,70,Neil O'Donnell,Steelers,Maryland
291,1990,6,4,3,84,Troy Taylor,Jets,California
292,1990,7,4,5,86,Cary Conklin,Redskins,Washington
293,1990,8,4,12,93,Scott Mitchell,Dolphins,Utah
294,1990,9,5,26,135,Craig Kupp,Giants,Pacific Lutheran
295,1990,10,6,1,138,John Friesz,Chargers,Idaho
296,1990,11,6,19,156,Mike Buck,Saints,Maine
297,1990,12,8,14,207,Gerry Gdowski,Saints,Nebraska
298,1990,13,9,22,242,Kirk Baumgartner,Packers,Wisconsin-Stevens Point
299,1990,14,9,27,247,Todd Ellis,Broncos,South Carolina
300,1990,15,11,20,296,Clemente Gordon,Browns,Grambling State
301,1990,16,12,3,307,Todd Hammel,Buccaneers,Stephen F. Austin
302,1990,17,12,7,311,Gene Benhart,Colts,Western Illinois
303,1990,18,12,8,312,John Gromos,Seahawks,Vanderbilt
304,1990,19,12,13,317,Major Harris,Raiders,West Virginia
305,1990,20,12,17,321,Reggie Slack,Oilers,Auburn
308,1989,1,1,1,1,Troy Aikman,Cowboys,UCLA
309,1989,2,2,4,32,Mike Elkins,Chiefs,Wake Forest
310,1989,3,2,23,51,Billy Joe Tolliver,Chargers,Texas Tech
311,1989,4,3,18,74,Anthony Dilweg,Packers,Duke
312,1989,5,3,27,83,Erik Wilhelm,Bengals,Oregon State
313,1989,6,4,3,87,Jeff Graham,Packers,Long Beach State
314,1989,7,4,18,102,Jeff Carlson,Rams,Weber State
315,1989,8,6,1,140,Jeff Francis,Raiders,Tennessee
