,draft_Year,draft_No,draft_Round,draft_Pick,draft_Player,name,draft_Team,draft_College
635,1971,8,4,21,99,Joe Theismann,Dolphins,Notre Dame
636,1971,9,5,11,115,Bryant Salter,Chargers,Pittsburgh
637,1971,10,6,10,140,Scott Hunter,Packers,Alabama
638,1971,11,6,20,150,Frank Harris,Lions,Boston College
639,1971,12,7,11,167,Buddy Lee,Bears,Louisiana State
640,1971,13,10,26,260,Rex Kern,Colts,Ohio State
641,1971,14,11,20,280,Charlie Richards,Rams,Richmond
642,1971,15,11,23,283,Joe Reed,49ers,Mississippi State
643,1971,16,12,17,303,Tim Von Dulm,Cardinals,Portland State
644,1971,17,12,25,311,Steve Goepel,Cowboys,Colgate
645,1971,18,13,4,316,Busty Underwood,Bills,Texas Christian
646,1971,19,13,9,321,Craig Blackford,Broncos,Evansville
647,1971,20,13,16,328,Chuck Hixon,Chiefs,Southern Methodist
648,1971,21,14,2,340,Bobby Scott,Saints,Tennessee
649,1971,22,14,11,349,Bill Bynum,Redskins,Western New Mexico
650,1971,23,15,12,376,Ron Maciejowski,Bears,Ohio State
651,1970,1,1,1,1,Terry Bradshaw,Steelers,Louisiana Tech
652,1970,2,1,3,3,Mike Phipps,Browns,Purdue
653,1970,3,2,4,30,Dennis Shaw,Bills,San Diego State
654,1970,4,2,25,51,Bill Cappleman,Vikings,Florida State
655,1970,5,5,22,126,Steve Ramsey,Saints,North Texas State
656,1970,6,6,1,131,Bob Cutburth,Bears,Oklahoma State
657,1970,7,6,9,139,Rusty Clark,49ers,Houston
658,1970,8,6,21,151,Mike Cilek,Browns,Iowa
659,1970,9,7,18,174,Gordon Slade,Colts,Davidson
660,1970,10,8,16,198,Wayne Clark,Chargers,U.S. International
661,1970,11,8,19,201,Mike Holmgren,Cardinals,USC
662,1970,12,12,22,308,Larry Arnold,Rams,Hawaii
663,1970,13,16,11,401,Bob Stewart,Broncos,Northern Arizona
664,1969,1,1,5,5,Greg Cook,Bengals,Cincinnati
665,1969,2,1,9,9,Marty Domres,Chargers,Columbia
666,1969,3,2,4,30,Terry Hanratty,Steelers,Notre Dame
667,1969,4,2,15,41,Bobby Douglass,Bears,Kansas
668,1969,5,2,26,52,Al Woodall,Jets,Duke
669,1969,6,5,6,110,Onree Jackson,Patriots,Alabama A&M
670,1969,7,8,10,192,James Harris,Bills,Grambling State
671,1969,8,8,25,207,Sam Havrilak,Colts,Bucknell
672,1969,9,9,24,232,Larry Good,Colts,Georgia Tech
673,1969,10,10,2,236,Sonny Wade,Eagles,Emory & Henry
674,1969,11,10,22,256,Bob Naponic,Oilers,Illinois
675,1969,12,11,10,270,Alan Pastrana,Broncos,Maryland
676,1969,13,11,17,277,Brian Dowling,Vikings,Yale
677,1969,14,12,21,307,Tim Carr,Rams,C.W. Post
678,1969,15,12,22,308,Bob Belden,Cowboys,Notre Dame
679,1969,16,13,15,332,Tom Boutwell,Browns,Southern Mississippi
680,1969,17,14,19,357,Ed Roseborough,Cardinals,Arizona State
681,1969,18,16,7,397,Ed Hargett,Saints,Texas A&M
682,1969,19,17,9,425,Buster O'Brien,Broncos,Richmond
683,1968,1,1,11,11,Greg Landry,Lions,Massachusetts
684,1968,2,1,25,25,Eldridge Dickey,Raiders,Tennessee State
685,1968,3,2,3,30,Gary Beban,Rams,UCLA
686,1968,4,2,21,48,Mike Livingston,Chiefs,Southern Methodist
687,1968,5,2,25,52,Ken Stabler,Raiders,Alabama
688,1968,6,3,1,56,Gary Davis,Bengals,Vanderbilt
689,1968,7,3,12,67,Billy Stevens,Packers,Texas-El Paso
690,1968,8,5,4,115,Ronnie South,Saints,Arkansas
691,1968,9,6,4,142,Kim Hammond,Dolphins,Florida State
692,1968,10,6,17,155,Dewey Warren,Bengals,Tennessee State
693,1968,11,7,5,170,John Schneider,Patriots,Toledo
694,1968,12,8,9,201,Danny Holman,Steelers,San Jose State
695,1968,13,9,10,229,Greg Barton,Lions,Tulsa
696,1968,14,11,9,282,Kim King,Steelers,Georgia Tech
697,1968,15,11,20,293,Jim Alcorn,Browns,Clarion
698,1968,16,12,15,315,Henry Johnson,49ers,Fisk
699,1968,17,13,9,336,Dan Darragh,Bills,William & Mary
700,1968,18,14,3,357,Marlin Briscoe,Broncos,Nebraska-Omaha
701,1968,19,15,6,387,Jim Haynie,Vikings,West Chester (PA)
702,1968,20,15,23,404,Jeff Beaver,Colts,North Carolina
703,1968,21,16,23,431,Jimmy Raye,Rams,Michigan State
704,1968,22,17,6,441,Bob Lee,Vikings,Pacific
705,1967,1,1,3,3,Steve Spurrier,49ers,Florida
706,1967,2,1,4,4,Bob Griese,Dolphins,Purdue
707,1967,3,1,25,25,Don Horn,Packers,San Diego State
708,1967,4,2,4,30,Bob David,Oilers,Virginia
709,1967,5,3,16,69,Vidal Carlin,Cardinals,North Texas State
710,1967,6,6,4,137,Terry Southall,Colts,Baylor
711,1967,7,6,8,141,Tim Jones,Lions,Weber State
712,1967,8,6,9,142,Virgil Carter,Bears,Brigham Young
713,1967,9,6,22,155,Rick Egloff,Raiders,Wyoming
714,1967,10,7,3,162,Corey Colehour,Falcons,North Dakota
715,1967,11,7,9,168,Bruce Matte,Redskins,Miami (OH)
716,1967,12,8,7,192,John Foruria,Steelers,Idaho
717,1967,13,8,23,208,Steve Laub,Cowboys,Illinois Wesleyan
718,1967,14,10,6,243,Paul Krause,Broncos,Dubuque
719,1967,15,11,24,287,Dave Bennett,Packers,Springfield (MA)
720,1967,16,12,19,309,Ben Monroe,Eagles,New Mexico
721,1967,17,16,6,399,Jack Lentz,Broncos,Holy Cross
722,1967,18,16,23,416,Paul Brothers,Cowboys,Oregon State
723,1967,19,17,5,424,Bill Buckner,Falcons,Delta State
724,1967,20,17,11,430,Bob Biletnikoff,Jets,Miami (FL)
725,1967,21,17,13,432,Dan Talbott,49ers,North Carolina
726,1966,1,1,16,16,Randy Johnson,Falcons,Texas A&I
727,1966,2,2,13,29,Rick Norton,Browns,Kentucky
728,1966,3,4,10,58,Gary Snook,Cardinals,Iowa
729,1966,4,6,8,88,Tim Van Galder,Cardinals,Iowa State
730,1966,5,7,12,107,Ron Meyer,Bears,South Dakota State
731,1966,6,8,15,125,Jack White,Colts,Penn State
732,1966,7,11,1,156,Steve Sloan,Falcons,Alabama
733,1966,8,13,3,188,Benjy Dial,Steelers,Eastern New Mexico
734,1966,9,14,15,215,Jim Ward,Colts,Gettysburg
735,1966,10,16,11,241,Jim LeClair,49ers,C.W. Post
736,1966,11,17,3,248,Mike Brundage,Steelers,Oregon
737,1966,12,17,7,252,Benny Russell,Cardinals,Louisville
738,1966,13,18,3,263,Ken Lucas,Steelers,Pittsburgh
739,1966,14,19,3,278,Dave Neilson,Steelers,Albion
740,1965,1,1,1,1,Joe Namath,Jets,Alabama
741,1965,2,1,5,5,Craig Morton,Cowboys,California
742,1965,3,1,12,12,Joe Namath,Cardinals,Alabama
743,1965,4,2,0,0,John Huarte,Jets,Notre Dame
744,1965,5,3,5,33,Bob Timberlake,Giants,Michigan
745,1965,6,4,4,46,Tommy Myers,Lions,Northwestern
746,1965,7,6,6,76,John Huarte,Eagles,Notre Dame
747,1965,8,7,5,89,Brig Owens,Cowboys,Cincinnati
748,1965,9,8,2,100,Jhn Hankinson,Vikings,Minnesota
749,1965,10,9,13,125,Gary Lane,Browns,Missouri
750,1965,11,10,13,139,Pat Screen,Browns,Louisiana State
751,1965,12,12,5,159,Ernie Kellerman,Cowboys,Miami (OH)
752,1965,13,14,13,195,Dan Simrell,Browns,Toledo
753,1965,14,16,14,224,Steve Tensi,Colts,Florida State
754,1965,15,17,4,228,Tom LaFramboise,Bears,Louisville
755,1965,16,18,11,249,Karl Sweetan,Lions,Wake Forest
756,1965,17,19,9,261,Billy Guy Anderson,Rams,Tulsa
757,1965,18,20,1,267,John Torok,Giants,Arizona State
758,1965,19,20,4,270,Craig Fertig,Steelers,USC
759,1965,20,20,11,277,George Wilson,Lions,Xavier
760,1965,21,20,14,280,George Haffner,Colts,McNeese State
761,1964,1,1,5,5,Pete Beathard,Lions,USC
762,1964,2,1,7,7,Bill Munson,Rams,Utah State
763,1964,3,2,1,15,George Mira,49ers,Miami (FL)
764,1964,4,2,2,16,Jack Concannon,Eagles,Boston College
765,1964,5,4,3,45,Perry Lee Dunn,Cowboys,Mississippi
766,1964,6,6,3,73,Billy Lothridge,Cowboys,Georgia Tech
767,1964,7,6,11,81,Henry Schichtle,Giants,Wichita State
768,1964,8,7,3,87,Dick Shiner,Redskins,Maryland
769,1964,9,8,11,109,Gary Wood,Giants,Cornell
770,1964,10,8,14,112,Larry Rakestraw,Bears,Georgia
771,1964,11,10,3,129,Roger Staubach,Cowboys,Navy
772,1964,12,10,5,131,Ron Smith,Rams,Richmond
773,1964,13,11,2,142,Bob Berry,Eagles,Oregon
774,1964,14,13,4,172,Jerry Rhome,Cowboys,Tulsa
775,1964,15,16,10,220,Jack Ankerson,Cardinals,Ripon
776,1963,1,1,1,1,Terry Baker,Rams,Oregon State
777,1963,2,6,11,81,Dave Mathieson,Bears,Washington State
778,1963,3,9,5,117,Don Trull,Colts,Baylor
779,1963,4,10,4,130,Pete Liske,Eagles,Penn State
780,1963,5,10,10,136,Bill Nelsen,Steelers,USC
781,1963,6,10,12,138,Mike Taliaferro,Giants,Illinois
782,1963,7,12,14,168,Daryle Lamonica,Packers,Notre Dame
783,1963,8,19,7,259,Jim Turner,Redskins,Utah State
784,1962,1,1,1,1,Roman Gabriel,Raiders,North Carolina State
785,1962,2,1,2,2,Roman Gabriel,Rams,North Carolina State
786,1962,3,1,10,10,John Hadl,Lions,Kansas
787,1962,4,2,4,18,Sonny Gibbs,Cowboys,Texas Christian
788,1962,5,2,10,24,Eddie Wilson,Lions,Arizona
789,1962,6,3,14,42,John Furman,Browns,Texas-El Paso
790,1962,7,4,12,54,Glynn Griffing,Giants,Mississippi
791,1962,8,7,4,88,Jim Bakken,Rams,Wisconsin
792,1962,9,9,6,118,Wilburn Hollis,Cardinals,Iowa
793,1962,10,9,9,121,Walt Rappold,Colts,Duke
794,1962,11,10,14,140,Gale Weidner,Packers,Colorado
795,1962,12,18,2,240,Charlie Furlow,Rams,Mississippi State
796,1962,13,18,9,247,Mel Rideout,Colts,Richmond
797,1962,14,18,10,248,Joe Zuger,Lions,Arizona State
798,1962,15,18,14,252,Bob Joiner,Packers,Presbyterian
799,1962,16,19,11,263,John Anabo,Browns,Fresno State
800,1962,17,20,1,267,Ed Trancygier,Redskins,Florida State
801,1961,1,1,2,2,Norm Snead,Redskins,Wake Forest
802,1961,2,3,1,29,Fran Tarkenton,Vikings,Georgia
803,1961,3,3,8,36,Jim Wright,Eagles,Memphis State
804,1961,4,3,13,41,Ron Miller,Rams,Wisconsin
805,1961,5,6,13,83,Dick Thornton,Cardinals,Northwestern
806,1961,6,9,13,125,Jake Gibbs,Browns,Mississippi
807,1961,7,12,2,156,Lowndes Shingler,Cowboys,Clemson
808,1961,8,12,6,160,Howard Dyer,Bears,Virginia Military Inst
809,1961,9,12,11,165,Jack Moynihan,Giants,Holy Cross
810,1961,10,13,14,182,Don Jonas,Eagles,Penn State
811,1961,11,17,6,230,Terry Nofsinger,Steelers,Utah
812,1961,12,19,5,257,Ben Charles,Bears,USC
813,1961,13,20,1,267,Mike McFarland,Vikings,Western Illinois
814,1961,14,20,5,271,Mike Jones,Steelers,San Jose State
815,1960,1,1,2,2,George Izo,Cardinals,Notre Dame
816,1960,2,1,4,4,Richie Lucas,Redskins,Penn State
817,1960,3,2,3,15,Warren Rabb,Lions,Louisiana State
818,1960,4,3,1,25,Charley Britt,Rams,Georgia
819,1960,5,3,8,32,Don Meredith,Bears,Southern Methodist
820,1960,6,4,9,45,Jack Cummings,Eagles,North Carolina
821,1960,7,5,9,57,Dick Norman,Bears,Stanford
822,1960,8,6,1,61,Jacky Lee,Cardinals,Cincinnati
823,1960,9,7,11,83,Bobby Waters,49ers,Presbyterian
824,1960,10,10,1,109,Charley Johnson,Cardinals,New Mexico State
825,1960,11,12,7,139,Dave Grosz,Eagles,Oregon
826,1960,12,12,12,144,Pete Hall,Giants,Marquette
827,1960,13,16,8,188,Jim Waldon,Browns,Wyoming
828,1960,14,20,3,231,Dean Look,Lions,Michigan State
829,1959,1,1,1,1,Randy Duncan,Packers,Iowa
830,1959,2,1,4,4,Don Allard,Redskins,Boston College
831,1959,3,1,5,5,Dave Baker,49ers,Oklahoma
832,1959,4,1,10,10,Lee Grosscup,Giants,Utah
833,1959,5,2,4,16,Buddy Humphrey,Rams,Baylor
834,1959,6,2,9,21,Richie Petitbon,Bears,Tulane
835,1959,7,4,3,39,Jim Grazione,Eagles,Villanova
836,1959,8,7,7,79,Mitch Ogiego,Redskins,Iowa
837,1959,9,8,3,87,Bob Ptacek,Browns,Michigan
838,1959,10,12,12,144,Dick Wood,Colts,Auburn
839,1959,11,18,5,209,Joe Kapp,Redskins,California
840,1959,12,21,7,247,Johnny Green,Steelers,Tennessee-Chattanooga
841,1959,13,23,11,275,Frank Kremblas,Giants,Ohio State
842,1959,14,25,3,291,Dick Jamieson,Eagles,Bradley
843,1958,1,1,1,1,King Hill,Cardinals,Rice
844,1958,2,4,3,40,Dan Nolan,Redskins,Lehigh
845,1958,3,4,12,49,Jim Ninowski,Browns,Michigan State
846,1958,4,5,5,54,Jim Van Pelt,Redskins,Michigan
847,1958,5,5,6,55,Frank Ryan,Rams,Rice
848,1958,6,10,6,115,Al Jacks,Rams,Penn State
849,1958,7,12,11,144,Bob Brodhead,Browns,Duke
850,1958,8,13,3,148,Mickey Trimarki,Eagles,West Virginia
851,1958,9,13,5,150,Ken (Model-T) Ford,Redskins,Hardin-Simmons
852,1958,10,20,8,237,Tom Forestal,Colts,Navy
853,1957,1,1,3,3,John Brodie,49ers,Stanford
854,1957,2,1,5,5,Len Dawson,Steelers,Purdue
855,1957,3,2,4,17,Milt Plum,Browns,Penn State
856,1957,4,3,12,37,Ronnie Knox,Bears,UCLA
857,1957,5,4,1,38,Bobby Cox,Rams,Minnesota
858,1957,6,4,6,43,Sonny Jurgensen,Eagles,Duke
859,1957,7,5,1,50,Jimmy Harris,Eagles,Oklahoma
860,1957,8,7,12,85,Chuck Curtis,Giants,Texas Christian
861,1957,9,11,5,126,Andy Nelson,Colts,Memphis State
862,1957,10,12,8,141,Wade Mitchell,Redskins,Georgia Tech
863,1957,11,17,6,199,Corny Salvaterra,Steelers,Pittsburgh
864,1957,12,17,10,203,Jack Kemp,Lions,Occidental
865,1957,13,19,5,222,Kenny Ploen,Browns,Iowa
866,1957,14,21,5,246,Gene Cichowski,Steelers,Indiana
867,1957,15,22,2,255,Ronnie Quillian,Packers,Tulane
868,1957,16,22,5,258,Bob Winters,Browns,Utah State
869,1956,1,1,1,1,Gary Glick,Steelers,Colorado State
870,1956,2,1,2,2,Earl Morrall,49ers,Michigan State
871,1956,3,3,6,31,John Roach,Cardinals,Southern Methodist
872,1956,4,4,1,38,Jerry Reichow,Lions,Iowa
873,1956,5,12,11,144,Em Lindbeck,Rams,Illinois
874,1956,6,15,6,175,John Polzer,Colts,Virginia
875,1956,7,15,10,179,Tom Spiers,Cardinals,Arkansas State
876,1956,8,16,3,184,George Herring,49ers,Southern Mississippi
877,1956,9,16,5,186,George Welsh,Cardinals,Navy
878,1956,10,17,7,200,Bart Starr,Packers,Alabama
879,1956,11,17,10,203,Eagle Day,Redskins,Mississippi
880,1956,12,17,12,205,Eddie West,Browns,North Carolina State
881,1956,13,18,2,207,John Stephens,Steelers,Holy Cross
882,1956,14,23,3,268,Pete Neft,Steelers,Pittsburgh
883,1956,15,24,6,283,Bobby Fox,Colts,East Texas State
884,1956,16,27,2,315,Jerry Gustafson,49ers,Stanford
885,1956,17,28,5,330,Jim Miller,Cardinals,Wisconsin
886,1956,18,28,6,331,John Shearer,Colts,Shepherd
887,1956,19,28,7,332,Bobby Lance,Packers,Florida
888,1956,20,30,6,355,Rod Hermes,Packers,Beloit
889,1955,1,1,1,1,George Shaw,Colts,Oregon
890,1955,2,1,4,4,Ralph Guglielmi,Redskins,Notre Dame
891,1955,3,9,5,102,Johnny Unitas,Steelers,Louisville
892,1955,4,13,12,157,Johnny Borton,Browns,Ohio State
893,1955,5,16,4,185,Charley Brackins,Packers,Prairie View A&M
894,1955,6,22,8,261,Pete Vann,49ers,Army
895,1954,1,1,1,1,Bobby Garrett,Browns,Stanford
896,1954,2,1,2,2,Lamar McHan,Cardinals,Arkansas
897,1954,3,1,5,5,Cotton Davidson,Colts,Baylor
898,1954,4,27,6,319,Tom Yewcic,Steelers,Michigan State
899,1953,1,1,5,5,Ted Marchibroda,Steelers,Detroit
900,1953,2,2,4,17,Zeke Bratkowski,Bears,Georgia
901,1953,3,2,9,22,Eddie Crowder,Giants,Oklahoma
902,1953,4,2,11,24,Rudy Bukich,Rams,USC
903,1953,5,3,3,28,Dale Samuels,Cardinals,Purdue
904,1953,6,10,7,116,Charlie Maloy,Giants,Holy Cross
905,1953,7,30,4,353,Bill Brehany,Bears,Virginia Military Inst
906,1952,1,1,1,1,Billy Wade,Rams,Vanderbilt
907,1952,2,1,4,4,Vito (Babe) Parilli,Packers,Kentucky
908,1952,3,1,12,12,Harry Agganis,Browns,Boston University
909,1952,4,3,1,26,Don Klosterman,Browns,Loyola (CA)
910,1952,5,3,6,31,Al Dorow,Redskins,Michigan State
911,1952,6,3,10,35,Don Heinrich,Giants,Washington
912,1952,7,19,5,222,Gary Kerkorian,Steelers,Stanford
913,1951,1,1,2,2,Bob Williams,Bears,Notre Dame
914,1951,2,1,3,3,Y.A. Tittle,49ers,Louisiana State
915,1951,3,14,1,160,Adrian Burk,Redskins,Baylor
916,1951,4,30,6,357,John (Model-T) Ford,Eagles,Hardin-Simmons
917,1950,1,1,2,2,Adrian Burk,Colts,Baylor
918,1950,2,2,3,17,Tobin Rote,Packers,Rice
919,1950,3,10,5,123,Eddie LeBaron,Redskins,Pacific
920,1950,4,18,3,225,Arnold Galiffa,Packers,Army
921,1950,5,19,12,247,Butch Songin,Browns,Boston College
922,1949,1,1,2,2,Johnny Rauch,Lions,Georgia
923,1949,2,1,5,5,Stan Heath,Packers,Nevada
924,1949,3,1,9,9,Frank Tripucka,Eagles,Notre Dame
925,1949,4,4,6,37,Norm Van Brocklin,Rams,Oregon
926,1949,5,12,5,116,Jim Finks,Steelers,Tulsa
927,1949,6,12,8,119,George Blanda,Bears,Kentucky
928,1948,1,1,1,1,Harry Gilmer,Redskins,Alabama
929,1948,2,1,3,3,Bobby Layne,Bears,Texas
930,1948,3,1,6,6,Y.A. Tittle,Lions,Louisiana State
931,1948,4,3,9,22,Paul Campbell,Eagles,Texas
932,1948,5,11,8,93,Gil Johnson,Eagles,Southern Methodist
933,1948,6,16,4,139,George Ratterman,Yanks,Notre Dame
934,1948,7,25,6,231,Stan Heath,Packers,Nevada
935,1946,1,1,1,1,Frank (Boley) Dancewicz,Yanks,Notre Dame
936,1946,2,1,4,4,Johnny Lujack,Bears,Notre Dame
937,1946,3,3,4,19,Frank Broyles,Bears,Georgia Tech
938,1945,1,1,8,8,Jim Hardy,Redskins,USC
939,1945,2,5,2,34,Al Kowalski,Dodgers,Tulsa
940,1945,3,13,7,127,Charlie Conerly,Redskins,Mississippi
941,1944,1,1,1,1,Angelo Bertelli,Yanks,Notre Dame
942,1944,2,1,4,4,Otto Graham,Lions,Northwestern
943,1944,3,5,10,42,Bob Waterfield,Rams,UCLA
944,1943,1,6,5,45,Les Horvath,Rams,Ohio State
945,1942,1,1,10,10,Frankie Albert,Bears,Stanford
946,1941,1,2,3,13,Paul Christman,Cardinals,Missouri
947,1941,2,20,8,188,Jack Odle,Bears,Texas Christian
948,1939,1,1,2,2,Sid Luckman,Bears,Columbia
949,1939,2,1,4,4,Davey O'Brien,Eagles,Texas Christian
950,1939,3,10,2,82,Earl Crowder,Cardinals,Oklahoma
951,1937,1,1,6,6,Sammy Baugh,Redskins,Texas Christian
952,1937,2,2,3,13,Clarence (Ace) Parker,Dodgers,Duke
